Size of Matrix (n), 10-precision-relativeError, 20-precision-relativeError, 30-precision-relativeError
10, 6.6208e-07, 2.0260e-12, 3.5687e-16
13, 3.5795e-06, 3.3492e-11, 1.6652e-15
17, 3.8451e-06, 3.1513e-11, 8.1522e-16
22, 1.1071e-04, 2.6957e-10, 1.4953e-13
29, 7.4172e-07, 2.0903e-12, 3.7586e-15
38, 7.3634e-06, 2.1321e-11, 9.1026e-15
50, 3.7327e-06, 1.6870e-11, 3.0470e-15
66, 8.7775e-06, 2.6858e-11, 1.1627e-14
88, 1.7791e-05, 9.4495e-11, 4.7888e-15
117, 3.4285e-05, 1.7023e-10, 3.4138e-14
156, 2.6486e-04, 8.9785e-10, 3.2171e-13
208, 2.1136e-04, 2.7542e-10, 7.6566e-13
277, 1.3515e-05, 5.0093e-11, 1.8412e-14
369, 2.1902e-05, 9.9248e-11, 2.4397e-13
492, 3.8806e-05, 2.4333e-10, 8.2045e-14
656, 2.3687e-04, 8.1646e-10, 4.9178e-13
874, 6.0653e-05, 3.2829e-10, 7.6348e-14
1165, 2.2135e-03, 6.1602e-09, 9.4021e-12
1553, 2.2560e-03, 5.4727e-09, 7.0976e-12
2070, 1.8031e-03, 5.7884e-09, 1.1280e-11
2760, 1.0366e-03, 7.0276e-09, 2.6648e-12
3680, 3.7536e-03, 2.3597e-08, 2.5801e-12
4906, 1.8096e-03, 6.3695e-09, 1.5502e-11
6541, 1.5436e-03, 1.0423e-08, 1.3597e-11
8721, 1.0951e-02, 8.2847e-08, 2.9902e-11
11628, 1.1097e-02, 6.1934e-08, 3.3371e-11
15504, 1.9583e-02, 1.0504e-07, 3.2937e-11
20672, 3.8782e-03, 2.3089e-08, 2.0353e-11
27562, 7.0103e-03, 3.5122e-08, 4.7469e-11
36749, 1.2885e-01, 3.4982e-07, 3.1233e-10
48998, 4.3578e-02, 2.2043e-07, 1.6994e-10
65330, 4.7905e-02, 3.0708e-07, 1.4045e-10
87106, 6.8085e-02, 3.3238e-07, 1.1193e-10
