Size of Matrix (n), 10-precision-flops, 20-precision-flops, 30-precision-flops
10, 8.0680e+03, 5.4178e+04, 1.7469e+05
11, 8.1860e+03, 5.4346e+04, 1.7491e+05
12, 8.2920e+03, 5.4502e+04, 1.7511e+05
13, 8.4140e+03, 5.4674e+04, 1.7533e+05
14, 8.4700e+03, 5.4780e+04, 1.7549e+05
15, 8.5580e+03, 5.4918e+04, 1.7568e+05
16, 8.8540e+03, 5.5264e+04, 1.7607e+05
17, 8.9680e+03, 5.5428e+04, 1.7629e+05
18, 9.0220e+03, 5.5532e+04, 1.7644e+05
19, 9.2520e+03, 5.5812e+04, 1.7677e+05
20, 9.3260e+03, 5.5936e+04, 1.7695e+05
22, 9.6100e+03, 5.6320e+04, 1.7743e+05
24, 9.9760e+03, 5.6786e+04, 1.7800e+05
26, 1.0292e+04, 5.7202e+04, 1.7851e+05
28, 1.0784e+04, 5.7794e+04, 1.7920e+05
30, 1.1324e+04, 5.8434e+04, 1.7994e+05
33, 1.1770e+04, 5.9030e+04, 1.8069e+05
36, 1.2510e+04, 5.9920e+04, 1.8173e+05
39, 1.3156e+04, 6.0716e+04, 1.8268e+05
42, 1.4018e+04, 6.1728e+04, 1.8384e+05
46, 1.5418e+04, 6.3328e+04, 1.8564e+05
50, 1.6392e+04, 6.4502e+04, 1.8701e+05
55, 1.8042e+04, 6.6402e+04, 1.8916e+05
60, 2.0016e+04, 6.8626e+04, 1.9164e+05
66, 2.1652e+04, 7.0562e+04, 1.9387e+05
72, 2.4590e+04, 7.3800e+04, 1.9741e+05
79, 2.8064e+04, 7.7624e+04, 2.0158e+05
86, 3.0454e+04, 8.0364e+04, 2.0467e+05
94, 3.3912e+04, 8.4222e+04, 2.0893e+05
103, 3.9182e+04, 8.9942e+04, 2.1510e+05
113, 4.4796e+04, 9.6056e+04, 2.2172e+05
124, 5.2320e+04, 1.0413e+05, 2.3034e+05
136, 6.1100e+04, 1.1351e+05, 2.4032e+05
149, 7.0650e+04, 1.2371e+05, 2.5117e+05
163, 8.2078e+04, 1.3584e+05, 2.6400e+05
179, 9.7896e+04, 1.5246e+05, 2.8142e+05
196, 1.1559e+05, 1.7100e+05, 3.0081e+05
215, 1.3376e+05, 1.9012e+05, 3.2088e+05
236, 1.6018e+05, 2.1759e+05, 3.4940e+05
259, 1.9071e+05, 2.4927e+05, 3.8223e+05
284, 2.2760e+05, 2.8741e+05, 4.2162e+05
312, 2.6773e+05, 3.2894e+05, 4.6455e+05
343, 3.1758e+05, 3.8034e+05, 5.1750e+05
377, 3.8525e+05, 4.4971e+05, 5.8857e+05
414, 4.5464e+05, 5.2095e+05, 6.6166e+05
455, 5.4441e+05, 6.1277e+05, 7.5553e+05
500, 6.5860e+05, 7.2921e+05, 8.7422e+05
550, 4.9437e+05, 7.2396e+05, 1.2532e+06
605, 5.8493e+05, 8.1892e+05, 1.3525e+06
