Size of Matrix (n), 10-precision-seconds, 20-precision-seconds, 30-precision-seconds
10, 9.4020e-06, 6.8600e-06, 1.2750e-05
11, 3.7050e-06, 7.9205e-06, 1.2798e-05
12, 3.4530e-06, 6.9830e-06, 1.2669e-05
13, 3.6460e-06, 7.7365e-06, 1.1843e-05
14, 3.6795e-06, 7.2130e-06, 1.3529e-05
15, 3.6890e-06, 6.8380e-06, 1.2809e-05
16, 4.0220e-06, 8.7420e-06, 1.2791e-05
17, 4.8260e-06, 7.2300e-06, 1.3381e-05
18, 3.8460e-06, 1.0178e-05, 1.1103e-05
19, 7.9790e-06, 7.0890e-06, 1.0282e-05
20, 8.4965e-06, 1.1323e-05, 1.0990e-05
22, 8.3325e-06, 1.1358e-05, 1.2421e-05
24, 4.0355e-06, 1.2771e-05, 1.2897e-05
26, 4.4170e-06, 1.2957e-05, 1.3127e-05
28, 4.8560e-06, 1.9142e-05, 1.3118e-05
30, 9.6870e-06, 8.7285e-06, 1.3561e-05
33, 5.8485e-06, 9.5845e-06, 1.3457e-05
36, 6.2410e-06, 9.5965e-06, 2.2468e-05
39, 1.2891e-05, 9.8625e-06, 1.6095e-05
42, 1.2308e-05, 1.5655e-05, 1.7385e-05
46, 1.3048e-05, 1.7137e-05, 1.6979e-05
50, 9.6390e-06, 1.8869e-05, 1.8070e-05
55, 1.0667e-05, 1.4607e-05, 2.4766e-05
60, 1.6811e-05, 1.6476e-05, 2.1530e-05
66, 1.9177e-05, 2.2957e-05, 4.2194e-05
72, 2.2343e-05, 2.0642e-05, 2.6921e-05
79, 3.0832e-05, 2.3149e-05, 2.9541e-05
86, 3.2969e-05, 2.6474e-05, 3.2670e-05
94, 3.0494e-05, 3.3991e-05, 3.5783e-05
103, 3.4739e-05, 4.3910e-05, 4.5568e-05
113, 4.5480e-05, 4.0624e-05, 4.6357e-05
124, 5.3248e-05, 4.8907e-05, 5.5174e-05
136, 5.5543e-05, 8.1296e-05, 6.4002e-05
149, 8.4467e-05, 8.0399e-05, 7.4429e-05
163, 7.6042e-05, 9.4145e-05, 8.4062e-05
179, 9.3322e-05, 8.9573e-05, 1.1289e-04
196, 1.1108e-04, 1.0617e-04, 1.1470e-04
215, 1.3351e-04, 1.4187e-04, 1.3606e-04
236, 1.4726e-04, 1.4306e-04, 1.6446e-04
259, 1.8228e-04, 1.7853e-04, 2.0001e-04
284, 2.1708e-04, 2.1786e-04, 2.4740e-04
312, 2.7938e-04, 2.6517e-04, 2.8607e-04
343, 3.0960e-04, 3.0629e-04, 3.1766e-04
377, 3.8719e-04, 3.6536e-04, 3.8217e-04
414, 4.3492e-04, 4.3562e-04, 4.4813e-04
455, 5.3343e-04, 5.2278e-04, 5.5151e-04
500, 6.2275e-04, 6.2940e-04, 6.4690e-04
550, 4.9363e-04, 4.6119e-04, 4.9460e-04
605, 5.2482e-04, 5.4630e-04, 5.8486e-04
665, 6.3031e-04, 6.5721e-04, 7.0115e-04
731, 7.6212e-04, 7.8366e-04, 8.2969e-04
804, 9.1076e-04, 9.2814e-04, 1.0279e-03
884, 1.1448e-03, 1.1151e-03, 1.1615e-03
972, 1.3001e-03, 1.4086e-03, 1.4587e-03
1069, 8.7191e-04, 9.5273e-04, 1.0473e-03
1175, 1.0449e-03, 1.1183e-03, 1.2342e-03
1292, 1.2874e-03, 1.3283e-03, 1.4411e-03
1421, 1.5012e-03, 1.5938e-03, 1.8006e-03
1563, 1.8250e-03, 1.8957e-03, 2.0191e-03
1719, 2.1610e-03, 2.3019e-03, 2.5037e-03
1890, 2.6101e-03, 2.7126e-03, 2.8839e-03
2079, 1.7233e-03, 1.9072e-03, 2.2059e-03
2286, 2.0540e-03, 2.3045e-03, 2.5402e-03
2514, 2.4546e-03, 2.7076e-03, 2.9294e-03
2765, 2.9749e-03, 3.1919e-03, 3.4843e-03
3041, 3.6558e-03, 3.8375e-03, 4.1467e-03
3345, 4.4879e-03, 4.8347e-03, 5.1541e-03
3679, 5.4361e-03, 5.5795e-03, 5.9404e-03
4046, 6.3687e-03, 6.6832e-03, 7.0083e-03
4450, 4.4025e-03, 4.4521e-03, 6.0629e-03
4895, 4.9367e-03, 5.2945e-03, 5.8923e-03
5384, 5.7543e-03, 6.2938e-03, 7.1495e-03
5922, 7.1567e-03, 7.6023e-03, 8.2023e-03
6514, 8.5283e-03, 9.1213e-03, 9.6871e-03
7165, 1.0026e-02, 1.0554e-02, 1.1365e-02
7881, 1.2119e-02, 1.2770e-02, 1.3672e-02
8669, 7.9215e-03, 9.1903e-03, 1.0147e-02
9535, 9.4451e-03, 1.0604e-02, 1.1881e-02
10488, 1.1326e-02, 1.2488e-02, 1.3978e-02
11536, 1.3727e-02, 1.5007e-02, 1.6467e-02
12689, 1.6178e-02, 1.7433e-02, 1.9144e-02
13957, 1.9403e-02, 2.1074e-02, 2.2544e-02
15352, 2.3223e-02, 2.4801e-02, 2.6470e-02
16887, 1.5930e-02, 1.7767e-02, 2.0306e-02
18575, 1.8273e-02, 2.0457e-02, 2.3499e-02
20432, 2.2250e-02, 2.4225e-02, 2.7353e-02
22475, 2.6078e-02, 2.8632e-02, 3.1993e-02
24722, 3.1319e-02, 3.3967e-02, 3.7439e-02
27194, 3.7156e-02, 4.0299e-02, 4.4499e-02
29913, 4.4887e-02, 4.7694e-02, 5.1784e-02
32904, 2.9993e-02, 3.5135e-02, 4.1127e-02
36194, 3.5846e-02, 4.0748e-02, 4.7114e-02
39813, 4.2580e-02, 4.8308e-02, 5.4879e-02
43794, 5.1483e-02, 5.6270e-02, 6.4452e-02
48173, 6.1833e-02, 6.8443e-02, 7.6070e-02
52990, 7.2693e-02, 7.9867e-02, 8.8701e-02
58289, 8.6588e-02, 9.3064e-02, 1.0288e-01
64117, 1.0376e-01, 1.1103e-01, 1.2076e-01
70528, 6.9737e-02, 8.0265e-02, 9.3979e-02
77580, 8.3718e-02, 9.5060e-02, 1.1153e-01
85338, 1.0565e-01, 1.1410e-01, 1.2877e-01
93871, 1.2735e-01, 1.3252e-01, 1.5439e-01
